"county","STATEABBREVIATION","dist_SSP","HIVprevalence","opioid_RxRate","pctunins","metro"
"wabasha county","MN",47.44,49.7,8.3,5.1,"metro"
"johnson county","GA",125,283.1,3,18.5,"non-metro"
"iron county","MO",77.2,103.4,130.6,15.9,"non-metro"
"kosciusko county","IN",42.14,52.1,64.2,12.4,"non-metro"
"delaware county","OK",49.22,77.9,78.7,18.6,"non-metro"
"scurry county","TX",141,70.7,81.5,14.8,"non-metro"
"jefferson county","MS",81.5,360,0.3,11.2,"non-metro"
"lee county","IA",68.44,37.7,110.2,6.8,"non-metro"
"santa fe county","NM",9.17,338.8,72.9,15.7,"metro"
"cass county","MO",31.23,97.6,95.1,8.4,"metro"
"montgomery county","IL",39.88,156.8,106.1,5.9,"non-metro"
"berkshire county","MA",104.09,153.7,51.8,3,"metro"
"webster county","MO",107.8,88.1,87.9,16.8,"metro"
"pontotoc county","MS",185,102.1,85,18.4,"non-metro"
"granville county","NC",21.5,-1,62.3,11.7,"non-metro"
"darlington county","SC",73.17,466.1,140.4,14.7,"metro"
"lawrence county","AR",163.15,49.8,35.8,12.7,"non-metro"
"greer county","OK",214.33,217.2,35.9,16.4,"non-metro"
"hart county","KY",29.86,-1,57.3,14.4,"non-metro"
"rogers county","OK",89.57,85.8,92.1,12.1,"metro"
"decatur county","IN",39.5,63.6,58.2,11.2,"non-metro"
"mecklenburg county","NC",21.56,635.6,47.4,13.9,"metro"
"gillespie county","TX",313,61.9,71.1,18.2,"non-metro"
"buena vista county","IA",109.38,121.6,37.4,12,"non-metro"
"lenawee county","MI",21,58.4,81.7,8.5,"non-metro"
"clinton county","IN",22.43,65,61.2,12.2,"non-metro"
"lebanon county","PA",60.18,39.7,48.1,10.8,"metro"
"york county","PA",42.1,70.8,51.6,7.2,"metro"
"calhoun county","GA",155.75,518.5,1.3,19.7,"non-metro"
"webb county","TX",436,215.3,24.9,30.2,"metro"
"vernon parish","LA",126.89,146.5,70.3,11.6,"non-metro"
"lawrence county","TN",77.38,96.5,130,16.2,"non-metro"
"garfield county","NE",300,-1,75.8,8.8,"non-metro"
"hardy county","WV",71.71,76.8,71.3,10.8,"non-metro"
"starr county","TX",510,74.4,33.7,35.1,"non-metro"
"lincoln county","SD",146.5,30.3,35.3,4.8,"metro"
"switzerland county","IN",28,125.9,39.7,14.2,"non-metro"
"meade county","SD",267.67,97.5,12.9,10.7,"metro"
"thomas county","GA",197.88,370,102.8,16.9,"non-metro"
"erie county","NY",12.64,289.6,59.1,4.8,"metro"
"hale county","AL",199.6,436,98.7,11.1,"metro"
"dekalb county","GA",9.36,1203.3,40.6,17.1,"metro"
"bulloch county","GA",173.83,355.6,77.7,14.7,"non-metro"
"wayne county","GA",205.5,328.9,136.1,20.1,"non-metro"
"bay county","MI",47.3,92.7,86.6,7.4,"metro"
"logan county","OH",40.5,55.7,72.1,10.6,"non-metro"
"henry county","VA",41.62,103.4,63.4,12.5,"non-metro"
"champaign county","IL",11.41,196.6,58.8,6.7,"metro"
"hendry county","FL",84.33,377.2,65.8,29.8,"non-metro"
"polk county","IA",109.03,190.9,70.1,6.3,"metro"
"dickson county","TN",35.14,134,119.5,11.7,"metro"
"scott county","KS",210,-1,90.4,4.1,"non-metro"
"columbia county","WA",28,257.6,100.4,7.7,"metro"
"allegany county","MD",58.6,210.2,109.9,6.8,"metro"
"woodruff county","AR",169.5,141.8,2.7,16.3,"non-metro"
"baltimore city","MD",3.76,2150.7,48.5,9,"metro"
"yuma county","AZ",120.8,154.2,48.5,18,"metro"
"sonoma county","CA",13.11,331,46,10.1,"metro"
"liberty county","GA",213.29,380.5,52.9,13.8,"metro"
"new castle county","DE",7.69,430.6,65,6.9,"metro"
"ashe county","NC",44.45,-1,92,16.1,"non-metro"
"page county","IA",116.33,75.6,100.7,8.3,"non-metro"
"mccormick county","SC",73.83,321.5,2.3,9.1,"non-metro"
"addison county","VT",165.88,95.7,41.7,5.2,"non-metro"
"litchfield county","CT",67.59,144.1,52,6,"non-metro"
"lewis county","TN",64,79.3,134.5,14.7,"non-metro"
"harris county","GA",75.25,129,4.7,11.3,"metro"
"assumption parish","LA",43,140.6,29.2,13.8,"non-metro"
"putnam county","OH",46,36,33.6,4,"non-metro"
"pope county","AR",71.62,99.5,105.8,11.7,"non-metro"
"greene county","AR",162.6,103.2,166.8,11.8,"non-metro"
"carbon county","MT",254.5,54.1,24.4,11.4,"metro"
"morgan county","CO",66.25,101.4,60.4,9.4,"non-metro"
"utah county","UT",35.82,40.3,52.9,10.3,"metro"
"bennington county","VT",149.12,154.4,62.5,4.8,"non-metro"
"mobile county","AL",124.76,510.8,118.4,13.2,"metro"
"baldwin county","AL",146.5,166.5,106.7,11.8,"metro"
"harvey county","KS",167.43,-1,80.9,8.8,"metro"
"val verde county","TX",247.75,113.9,35.9,22.8,"non-metro"
"wayne county","TN",91.17,109.1,131.1,12.1,"non-metro"
"auglaize county","OH",50.5,55.3,43.6,5.5,"non-metro"
"huntingdon county","PA",95.48,48.1,49.9,7.6,"non-metro"
"union county","OR",55.14,68.7,101,10.9,"non-metro"
"ellis county","TX",296.38,197.8,67.3,16.6,"metro"
"otero county","NM",30.71,104,50.7,14,"non-metro"
"sevier county","TN",44.5,103.4,99.5,18.3,"non-metro"
"lawrence county","IN",18.56,98.5,113.6,12.1,"non-metro"
"morehouse parish","LA",160.2,304,111.9,15.9,"non-metro"
"washington county","TN",7,211.6,94.5,11.1,"metro"
"pitkin county","CO",88.5,156.3,22.2,13.7,"non-metro"
"christian county","KY",57.78,173,56.2,12,"metro"
"jasper county","MO",84.44,169.2,125.8,14.2,"metro"
"curry county","OR",43.17,69.4,133.8,10,"non-metro"
"hamblen county","TN",48.8,107.1,143.6,14.6,"metro"
"mcpherson county","KS",172.75,-1,75.9,6,"non-metro"
"jefferson davis parish","LA",95.57,238.5,88.4,11.9,"non-metro"
"oconto county","WI",35.18,24.9,29.6,5.9,"metro"
"presidio county","TX",170.67,86.9,3.3,35.9,"non-metro"
"camden county","MO",120.6,91.6,93,16.4,"non-metro"
"clermont county","OH",18.59,79.1,73,7.3,"metro"
"mille lacs county","MN",49.12,66.1,62.4,7.1,"metro"
"scott county","MN",23.62,87.2,33.3,5.1,"metro"
"fayette county","PA",23.23,27.1,107,7.6,"metro"
"poinsett county","AR",194.38,110.5,112.5,13.9,"metro"
"lake county","TN",150,341.8,58.1,13,"non-metro"
"windham county","VT",155.78,175.2,60.1,6.2,"non-metro"
"albemarle county","VA",100.46,156,49.1,8,"metro"
"poquoson city","VA",114,58.6,66,3.9,"metro"
"edgar county","IL",37.75,60.2,76.4,7.4,"non-metro"
"decatur county","TN",85.25,100.6,136.5,11.2,"non-metro"
"tuolumne county","CA",50.93,92.8,101.6,8.7,"non-metro"
"gwinnett county","GA",23.94,351.5,43.5,18.3,"metro"
"wyandotte county","KS",7.25,292.3,60.9,21,"metro"
"washington county","NC",42.33,-1,88.5,15.3,"non-metro"
"fayette county","GA",25,191.3,79.2,7.7,"metro"
"franklin county","NY",145.4,562,63.8,8.7,"non-metro"
"rains county","TX",235.5,112.8,62.5,18.9,"non-metro"
"knox county","OH",40.88,49,45.5,10.9,"non-metro"
"caldwell parish","LA",116.33,226.2,46.7,21.2,"non-metro"
"daviess county","KY",56.71,119.4,91.4,7.8,"metro"
"cowley county","KS",169.75,-1,91.7,11.4,"non-metro"
"clearfield county","PA",88,25.8,61.3,8.5,"non-metro"
"susquehanna county","PA",28.87,27.9,48,10.2,"non-metro"
"buchanan county","IA",63.09,52.7,32.2,7.9,"non-metro"
"burleigh county","ND",178.09,71.7,58.4,6.9,"metro"
"denver county","CO",2.66,962.7,35.1,13,"metro"
"scott county","KY",12.67,-1,70.9,8.3,"metro"
"dorchester county","MD",58.06,516,67.9,6.5,"non-metro"
"jackson county","MS",93.29,223.4,86.4,16,"metro"
"carter county","TN",12,97.9,98.8,13.8,"metro"
"somerset county","PA",51.47,25.9,60.9,8.2,"non-metro"
"campbell county","VA",55.86,117.9,32.9,9.7,"metro"
"richardson county","NE",95,-1,45.9,6.9,"non-metro"
"berkeley county","SC",138.67,266.1,54,13.3,"metro"
"delta county","CO",40.71,53.8,77,16,"non-metro"
"montgomery county","MS",223.67,362.1,86,9.4,"non-metro"
"miami county","OH",21.55,69.8,60.2,7.9,"metro"
"grayson county","TX",219.82,167.4,95,17.5,"metro"
"norfolk city","VA",106.43,687.7,53.9,14.6,"metro"
"franklin county","MO",42.95,78.2,88.1,9.5,"metro"
"jefferson county","WI",29.5,37.5,54.6,6.2,"non-metro"
"middlesex county","NJ",24.77,280.8,36.5,10.3,"metro"
"ashland county","WI",69,60.7,73.5,8.4,"non-metro"
"concordia parish","LA",71.33,302.3,91.5,26.4,"non-metro"
"sumter county","AL",214,323.2,36.4,18.2,"non-metro"
"jefferson county","MO",24.56,92.5,72.8,9.6,"metro"
"miller county","AR",186.5,295.3,102.5,15.6,"metro"
"carroll county","KY",25.67,-1,137.9,11.9,"non-metro"
"cortland county","NY",21.4,159.3,58.2,5.9,"non-metro"
"miami county","IN",48.88,140.2,58.7,10,"non-metro"
"taylor county","TX",209.07,208.8,99.6,15.7,"metro"
"monroe county","NY",6.74,364.6,42.7,5.2,"metro"
"boone county","MO",113,139,40.9,8,"metro"
"lyon county","NV",77.17,109.6,83.3,15,"non-metro"
"antelope county","NE",245.29,-1,43.5,8.6,"non-metro"
"larimer county","CO",17.11,88,52.7,8.5,"metro"
"yancey county","NC",19.5,-1,84.3,13.8,"non-metro"
"louisa county","VA",80,109.9,41.9,14.5,"non-metro"
"cumberland county","IL",58.33,54.7,0.6,6.2,"non-metro"
"outagamie county","WI",8.8,69.8,50.3,5.6,"metro"
"coryell county","TX",341.1,422.4,60,10.2,"metro"
"acadia parish","LA",74,220.1,72.1,15.6,"metro"
"douglas county","MO",108,159.3,79.3,17,"non-metro"
"washington county","OR",14.71,169.8,44.3,9.5,"metro"
"florence county","SC",81.09,652.9,121.9,11.9,"metro"
"fairbanks north star borough","AK",150.25,-1,42.9,11.6,"metro"
"tyler county","TX",186.12,226.8,48.4,16.1,"non-metro"
"hill county","TX",325.8,112.7,60.3,19.7,"non-metro"
"edgefield county","SC",84.2,534.3,54.9,11,"metro"
"douglas county","MN",88.3,44.6,79.9,4.7,"non-metro"
"mississippi county","AR",186.64,204,138.4,13.8,"non-metro"
"clark county","KY",0,-1,90.5,9,"metro"
"plymouth county","IA",149.38,57.8,42,5.6,"metro"
"person county","NC",7.5,-1,92.1,11.9,"metro"
"highland county","OH",37.43,53.2,90.1,11.3,"non-metro"
"kershaw county","SC",80.71,314.9,75.8,12.3,"metro"
"orange county","VT",202.29,103.4,34.4,6.1,"non-metro"
"putnam county","TN",53.86,153.3,125.5,12.4,"non-metro"
"blaine county","OK",244.62,168.6,1.2,11.8,"non-metro"
"faulkner county","AR",112.82,143.9,89.9,11.7,"metro"
"lawrence county","IL",71.5,63.8,76.6,8.7,"non-metro"
"ottawa county","OH",23.21,31.2,61.3,7,"non-metro"
"clay county","MO",16.56,181.5,78,9.1,"metro"
"lehigh county","PA",46.94,117.9,39.3,8.9,"metro"
"shoshone county","ID",68.33,47,95.5,15.3,"non-metro"
"clay county","MS",209.5,270.8,103.6,15.3,"non-metro"
"harlan county","KY",35.81,-1,120.8,12.1,"non-metro"
"brazos county","TX",304.86,204.8,47.9,14.1,"metro"
"jackson county","OR",16.07,136.4,92.9,11.5,"metro"
"suffolk county","NY",39.21,241.2,45.4,7.6,"metro"
"coahoma county","MS",229.89,904.3,115.1,16.1,"non-metro"
"rock county","MN",116,77.7,54.1,7.4,"non-metro"
"mitchell county","KS",197.67,-1,86.3,6.6,"non-metro"
"pettis county","MO",75.14,57.7,69.4,14.5,"non-metro"
"newton county","TX",151,65.8,25.5,17.8,"metro"
"king william county","VA",80,87.3,29.8,8.2,"metro"
"jack county","TX",295.5,161.8,1.3,18.9,"non-metro"
"wayne county","WV",14.85,40.3,61.6,10.9,"metro"
"benton county","IN",24.5,84.3,20.1,13.2,"metro"
"pulaski county","GA",113,284.9,90.5,16.4,"metro"
"todd county","KY",41.6,-1,5,19.1,"non-metro"
"anchorage municipality","AK",116.76,-1,59.4,14.5,"metro"
"benton county","MS",167.5,242.3,59.8,18.4,"metro"
"ulster county","NY",70.09,382.6,59,8.4,"metro"
"walker county","GA",91.33,162.6,46.8,15.3,"metro"
"suffolk county","MA",172.97,829.6,26.8,4.4,"metro"
"caldwell county","NC",13.2,-1,119.1,14.5,"metro"
"ben hill county","GA",155,149.9,176.9,19.5,"non-metro"
"sussex county","DE",76.64,331.8,80.1,8.6,"metro"
"pierce county","WI",32.82,34,31.5,6.2,"metro"
"jackson county","AL",102.12,74.3,138.6,11.9,"non-metro"
"trempealeau county","WI",25.55,32.9,14.1,8.2,"non-metro"
"bertie county","NC",41.86,-1,25,13.6,"non-metro"
"grayson county","VA",58.83,85.8,19.8,11.4,"non-metro"
"essex county","MA",190.65,279.3,39.4,3.5,"metro"
"greene county","MO",94.8,222.7,97.7,13,"metro"
"spotsylvania county","VA",56.2,133.2,54.5,10.2,"metro"
"palm beach county","FL",53.69,628.1,53.4,16,"metro"
"pulaski county","VA",65.33,70.1,111,9.6,"metro"
"kitsap county","WA",7.35,133.1,56.8,7.7,"metro"
"wright county","MN",25.36,41.7,46.6,4.2,"metro"
"harlan county","NE",266.2,-1,82.4,10.9,"non-metro"
"phelps county","MO",104.86,34.2,80.8,10.3,"non-metro"
"dekalb county","AL",96.53,88.3,103.2,16,"non-metro"
"cottonwood county","MN",59.67,95.6,77.8,5.3,"non-metro"
"marshall county","KY",99.25,-1,101.5,7.2,"non-metro"
"polk county","TN",61.89,89.7,111.9,10.8,"metro"
"greene county","IL",44.8,53.6,2.3,8.4,"non-metro"
"jackson county","WI",36.25,63.8,22.9,10.1,"non-metro"
"ketchikan gateway borough","AK",227,-1,77.4,15.5,"non-metro"
"simpson county","KY",23,-1,90.1,11.5,"non-metro"
"reno county","KS",202.77,60.5,97.5,10.8,"non-metro"
"cherokee county","NC",30.67,-1,117.5,18.4,"non-metro"
"twin falls county","ID",173.12,22.6,91.9,15,"non-metro"
"noble county","OK",177.83,116.1,6.6,10.2,"non-metro"
"meeker county","MN",55.17,52.4,26,6.2,"non-metro"
"york county","ME",238.06,129.7,52.9,8.7,"metro"
"scotland county","NC",31.4,-1,168.3,13.5,"non-metro"
"stone county","AR",107.57,64.9,154.1,11.7,"non-metro"
"pawnee county","KS",262,-1,45.9,7.9,"non-metro"
"scott county","VA",30,51.9,136.1,11.5,"metro"
"giles county","VA",54.22,89.9,98.1,13.6,"metro"
"marshall county","AL",115.78,115.4,163.9,15.4,"non-metro"
"glynn county","GA",244.57,424.2,93.7,16.3,"metro"
"charles county","MD",25.71,342.5,71.3,4.4,"metro"
"butler county","PA",32.19,14.4,57,5.1,"metro"
"hardin county","TX",192,118.6,90.4,17.6,"metro"
"macon county","AL",123.67,496.6,44.6,10.8,"non-metro"
